Folder_Number,Image_Link,Ad_Name,Product,Company,Ad_Description,Ad_Placement
723,https://drive.google.com/file/d/1AMWzPYJe29uKZ9BswBj7ycKno2II5E-2/view?usp=drivesdk,Wiber,Car rental service,Wiber,Rent cars starting from €9.33 per day.,Sidebar
723,https://drive.google.com/file/d/1AMWzPYJe29uKZ9BswBj7ycKno2II5E-2/view?usp=drivesdk,Opel,Car rental,Opel,Rent Opel cars starting from €16.25 per day.,Sidebar
723,https://drive.google.com/file/d/1AMWzPYJe29uKZ9BswBj7ycKno2II5E-2/view?usp=drivesdk,Kia,Car rental,Kia,Rent Kia cars starting from €16.30 per day.,Sidebar
723,https://drive.google.com/file/d/1FdPXtiIImoz_SgX1ZABOLMMXS8j6DqsZ/view?usp=drivesdk,eToro,Trading Platform,eToro,eToro is a platform for investing in multiple assets.,sidebar
723,https://drive.google.com/file/d/1C-uF_3H9HqfDOx4FpPlPcZjkhchdeeJS/view?usp=drivesdk,Honda HR-V Days,Honda HR-V,Honda,Special promotion event for the Honda HR-V with exclusive offers.,bottom
723,https://drive.google.com/file/d/1FteupF2IzMzt-VzoFFVLw8iDT5yjqgpn/view?usp=drivesdk,O2,Fiber and Mobile Services,O2,Fiber and Mobile 5G+ service for €30 final price,Sidebar
723,https://drive.google.com/file/d/1FteupF2IzMzt-VzoFFVLw8iDT5yjqgpn/view?usp=drivesdk,Paco León Interview,Entertainment news,N/A,Paco León leaves the country after his statement in an interview,Inline
723,https://drive.google.com/file/d/1URhZG_bGrOQi0Z5dw8kUw79L7KusFieW/view?usp=drivesdk,Electroverano,Electric Vehicles,Electroverano,Advertisement for electric vehicles promoting eco-friendly transportation solutions.,Bottom section of the page
723,https://drive.google.com/file/d/1rFxTcEhj-lfAEls1pcqQXcC65IiNumKH/view?usp=drivesdk,See Here the Top 5 News,,ProNews,Promotional advertisement inviting users to view the top 5 news stories.,bottom right
557,https://drive.google.com/file/d/1Qm3W-Tf0bunh5e_mUQWwzm0Rn1Wpd6Y2/view?usp=drivesdk,Radisson Hotels Gran Canaria,Hotels and Resorts,Radisson Hotels,Enjoy beaches and mountain trails in Gran Canaria,Banner
557,https://drive.google.com/file/d/1Qm3W-Tf0bunh5e_mUQWwzm0Rn1Wpd6Y2/view?usp=drivesdk,Ósmosis Inversa Doméstica,Home Water Osmosis System,N/A,Avoid using plastic bottles and reduce plastic consumption.,Bottom section
557,https://drive.google.com/file/d/1RceBBRkwX4hKxNeBEr4mi8hcqOaF9uCP/view?usp=drivesdk,Radisson Hotels,Hotel Accommodation,Radisson Hotels,A hotel chain offering accommodations and services for travelers.,Bottom section of the page
557,https://drive.google.com/file/d/1yGueuCRNQeHpdd8F67t6XV5TgaV-Ljva/view?usp=drivesdk,Radisson Hotels,Hotel Accommodations,Radisson,Offers for various Radisson hotel brands and properties for stays.,Sidebar
557,https://drive.google.com/file/d/1DkwQeUzG4f_KZLGmjd7ftj9vujv8Lr1h/view?usp=drivesdk,Advertisement,,Google,Promotional content displayed by Google.,Sidebar
557,https://drive.google.com/file/d/1YDpVpp2pvMtcqGS8TWI8i5Ml4F19FQUT/view?usp=drivesdk,Radisson Hotels,Hotel Accommodation,Radisson Hotels,"Promoting Radisson Hotels in Gran Canaria, inviting customers to book accommodation.",Sidebar
557,https://drive.google.com/file/d/1tKVcolQ0TMfT0Jkk3da1fQNR2xSouV7p/view?usp=drivesdk,UKRALI SU MI 90.000!,Music Group Details,Bubnjar Yu,"Details about Bubnjar Yu's group after being shocked by life stories, including plans for Tony Montano.",Sidebar
557,https://drive.google.com/file/d/1FTml6kQC73t47fnMip3xI3JRyyiJA17L/view?usp=drivesdk,Radisson Hotels,Hotel accommodation,Radisson Hotels,Enjoy a vacation at Radisson Hotels in Gran Canaria.,sidebar
557,https://drive.google.com/file/d/1clEIbltuBuDrsQzO2yEHURU81JetJ2nu/view?usp=drivesdk,Super Savings,Home Appliances,Best Gadget Co.,Get the latest home appliances at unbeatable prices! Shop now and save big!,sidebar
557,https://drive.google.com/file/d/1clEIbltuBuDrsQzO2yEHURU81JetJ2nu/view?usp=drivesdk,Energy Efficient Devices,Smart Home Appliances,EcoLiving,Upgrade to energy-efficient appliances and save on your bills!,banner
