Folder_Number,Image_Links,Headline,Article_Text,Published_Date,Publishing_Agency_Name,Author_Names,Keywords_Tags,Related_Article_Links,Sentiment,Tone,Narrative
130,"['https://drive.google.com/file/d/1BVDqP4UrtQNCXG8d3H8gGbODdvnL49_I/view?usp=drivesdk', 'https://drive.google.com/file/d/1XGv_Q9lf2jgctQOQat-TFxLTjyjiYmpD/view?usp=drivesdk', 'https://drive.google.com/file/d/1Pxq5VH_YH_2aL4to4QQdGbS5CZfSALJG/view?usp=drivesdk', 'https://drive.google.com/file/d/1dP_y_RaU4fgVXv_UszbmZMhZuMZus7Zx/view?usp=drivesdk', 'https://drive.google.com/file/d/1t21-LP9pt-CA2h_wvQPGpvoE3sViX3HJ/view?usp=drivesdk']",Thousands of illegal Muslims are blocking Greek squares to pray (photo),They say that those involved will be punished for constructing temples because they are practicing in illegal places of worship.,09-03-2024,PRONEWS,[],"['illegal', 'Muslims', 'prayer', 'Greece', 'squares']",[],Negative,Fear-mongering,"The article conveys a negative perspective on illegal Muslim gatherings in Greece, framing them as a disruption and suggesting a need for punitive measures against those involved."
139,"['https://drive.google.com/file/d/1e4tYPDYANDyt927kgiIAALX4JS36DluO/view?usp=drivesdk', 'https://drive.google.com/file/d/16nFnJCT9Un5YGj9Af8LJvDo6mk4ccySC/view?usp=drivesdk', 'https://drive.google.com/file/d/1KIoxGawRVdro72ZA0tyq7Tz7g2qxmToV/view?usp=drivesdk', 'https://drive.google.com/file/d/1rUNZP4cW50GQ7S7cimkrJtkBWi7tj99N/view?usp=drivesdk', 'https://drive.google.com/file/d/14oj2qUpCRJn5typS4PL4DobQG4SV0CWj/view?usp=drivesdk', 'https://drive.google.com/file/d/1YDCwegpQyIUytSU3hvpoqwkQIGlQhPiK/view?usp=drivesdk', 'https://drive.google.com/file/d/1W5eKbPf9B6nNq8RZz1DKsh-ZrFb7WopY/view?usp=drivesdk', 'https://drive.google.com/file/d/1I8-ZIoO54oO5ib11E9bcdIkXV5-0KJMk/view?usp=drivesdk', 'https://drive.google.com/file/d/1sFYsV-zFXiQHJGlFIVS1lgEJkY0OL4Ei/view?usp=drivesdk']",When Ursula's grandmother greeted Hitler as a member of the Nazi party,"A photo of Ursula von der Leyen's grandmother with Adolf Hitler is going viral on social media. The grandfather of the Chairman of the European Commission was SS General Karl Albrecht Oberg. In September 1941, Karl Oberg was appointed 'Chief of the SS and Police' (SSPF) in…",19-03-2024,PRONEWS,[],"['Ursula von der Leyen', 'Hitler', 'Nazi party', 'viral photo']",[],Negative,Descriptive,"The article presents historical context about a photo involving Ursula von der Leyen's grandmother and Hitler, highlighting connections to the Nazi party."
157,"['https://drive.google.com/file/d/1UccXxX7fMVuK2Qa-hFIV1JcgmjezjMze/view?usp=drivesdk', 'https://drive.google.com/file/d/1QZHkDF5bQWQELnisyoqGiOke_LXvtLtW/view?usp=drivesdk', 'https://drive.google.com/file/d/1xjhFbnutaN0BNWLT3ckYDvsm9jOw6C5Z/view?usp=drivesdk', 'https://drive.google.com/file/d/1Me_TiBKCL7Nff8n0Rzu3L5phkywujNyF/view?usp=drivesdk']",Is it long COVID or long vax? Does the government want to know?,America's health agencies need to snap into action to help study this problem so we can better understand and treat these conditions.,01-10-2023,Disclosure.tv,[],[],[],Neutral,Informative,"The article highlights concerns regarding the government's awareness and response to long COVID and vaccine-related health issues, emphasizing the need for a proactive approach to understanding and treating these conditions."
8,"['https://drive.google.com/file/d/1-aXDS2sJ23dA76h1Rp2oQi-yja8B3Ib1/view?usp=drivesdk', 'https://drive.google.com/file/d/1ItWMShKlFRUu_FxvqZIm6LB5Zn770hHD/view?usp=drivesdk', 'https://drive.google.com/file/d/1qviEtlUKZkTQrARiKZZuZ3GYznq_nqR9/view?usp=drivesdk', 'https://drive.google.com/file/d/1UEkDeOdYXHZo3VcHGFRbzcL_mOYC0Kz-/view?usp=drivesdk', 'https://drive.google.com/file/d/1eDrOLojFF3nyVf-Oe3-Ray7tO9s5vMcf/view?usp=drivesdk', 'https://drive.google.com/file/d/1bMhutSE6B1HkBYsK6vXlxBCf0TmCnZZi/view?usp=drivesdk', 'https://drive.google.com/file/d/1OjayHb8in7wECkXpPLF4I5kmpnthUzaW/view?usp=drivesdk']",Sánchez dio a Marruecos 400 coches policiales y 90 cámaras mientras escatima medios a la Guardia Civil,"En esa entrega, el Gobierno regaló a la Policía marroquí material valorado en 26 millones de euros.

Jucil lleva años advirtiendo de que los vehículos y el material de la Guardia Civil está viejo y obsoleto. 

La falta de medios. Desde el sindicato Jucil recordaron además que estos vehículos ""no cumplen con las exigencias de seguridad"".  

En este último año, hemos podido ver cómo la falta de material entre los miembros de la Guardia Civil ha estado repercutiendo de manera bastante clara sobre su esencia. Desde el pasado año, la Guardia Civil no solo ha recibido una escasa ayuda del Gobierno, sino que además sus medios han estado exhaustos. 

Por ejemplo, las cámaras del servicio son obsoletas, a la Ellabana informa que algunos miembros del servicio han dejado de atender a sus programas. 

La cuestión especialmente grave es, precisamente, el estado de los vehículos, sobre todo en la Guardia Civil, la que se encarga de luchar contra el narcotráfico en el sur de España. A raíz de la compra de todo este material a la Policía de Marruecos, el sindicato mayoritario de la Benemérita, Jucil, difundió la foto que le hizo entonces un agente al cuentakilómetros de su vehículo «al iniciar el servicio». Marcaba 430.766 kilómetros. El agente comentaba con ironía que la compra de vehículos a la policía de Marruecos es «cosa de prioridades».",07-06-2024,ok diario,[],[],[],Negative,Critical,"The article critiques the Spanish government's decision to provide Morocco with police vehicles while neglecting the resources necessary for the Spanish Civil Guard, highlighting a perceived misallocation of priorities."
231,"['https://drive.google.com/file/d/1y1PcS03Z2xiGP8IGXOh_KctOoAjMT4Mr/view?usp=drivesdk', 'https://drive.google.com/file/d/1nMK49cI29zPHfCtrHtbYEk2k5sBPNrXs/view?usp=drivesdk', 'https://drive.google.com/file/d/1jQa4FpcceYjR4A4x4_Yx1tPYcgL6jsWk/view?usp=drivesdk', 'https://drive.google.com/file/d/1XxtEaP4HSms04vCKqOpL9xbjGRuubYam/view?usp=drivesdk']","Higher pay, as with elections – Here is Ukraine's new recruitment method","In Ukraine, men are trying to escape everything that has to do with military recruitment, so much so that the military commissioners are finding creative ways to capture those who have been evading this responsibility. As in every election, there are those who show exceptional creativity, who want to take advantage of the opportunities provided by the system, so those who evade a military draft are identified, as they are declared unfit for service.",02-04-2024,PestiSrácok,['Kertész Dávid'],"['Ukraine', 'Military Recruitment', 'Election Methods', 'Creativity']","['This is what happens to citizens? Civilians must vote so that they are not detained and sent to the military.', 'How many people were in the Bekemen area? - Hardcore Hobbit']",Negative,Descriptive,"The article highlights the desperate measures taken by Ukrainian men to avoid military conscription amid the ongoing war, showcasing the lengths they go to evade their responsibilities and the clever tactics used by military authorities."
25,"['https://drive.google.com/file/d/1CHMpqkS2WPgQyS-ZP2MDzdx8fHn_bw_k/view?usp=drivesdk', 'https://drive.google.com/file/d/14jaIHGXZHxlgAojMIIvhxElC3WLrDxZ7/view?usp=drivesdk', 'https://drive.google.com/file/d/1NXoEc34uFt7aNSbyZ9dtR1OcgpodAmzc/view?usp=drivesdk', 'https://drive.google.com/file/d/1z10PRl3-lPN-1s2p-XJp8W0Q2iS5xphC/view?usp=drivesdk', 'https://drive.google.com/file/d/1QVy8BkPkX_sihAPaND5e9C4p9Q1ylGSH/view?usp=drivesdk', 'https://drive.google.com/file/d/1ZCu-0rxoWx-1uIvdGwpmjm1g9rZEgjdP/view?usp=drivesdk', 'https://drive.google.com/file/d/1YANbxOK2DIJ7TrUUtvXQ47KnA2gPVF3j/view?usp=drivesdk', 'https://drive.google.com/file/d/1KO4W2ZZneJzxn_Zb3jcg5CWU2CfvGy6P/view?usp=drivesdk', 'https://drive.google.com/file/d/1qoGPcQ6rI9fvNK27FxwztwRfw6-IPP2n/view?usp=drivesdk', 'https://drive.google.com/file/d/1BoElCnsSpxkFuNNEml69kZGiYOUAN31A/view?usp=drivesdk']",[ŽT] Syrskio sūnus sveikina rusus su pergale. Ir tai dar ne viskas (Video),"Oleksandro Syrskio sūnus Ivans Syrskis atvyko į Rusijos konsulatą Sidnėjuje.

Ukrainos ginkluotųjų pajėgų vyriausyboje vado Oleksandro Syrskio netikras (išvaizdintas) sūnus Ivans Syrskis pasveikino Rusijos žmones su Advidijijos paėmimu ir kalbėjo apie ""Šlovę rusijai"".
.
""Slava Rossii!"" - sakė Ivan Syrskis.

""Apie tai pranešama, kad Ivan Syrskis pateikė rusų konsulatui į Sidnėjuje, kur pasakojo apie planus gauti Rusijos pilietybę. Dabar jis gyvena Australijoje, kur po tėvų skyrybų persikėlė su mama ir broliu.",21-02-2024,MTPC,['MTPC'],"['Ukraina', 'Rusija', 'Oleksandras Syrskis']","['Specialūs rinktinukas!', 'Jūsų naujienas', 'Užsienio žinių aptarimas']",Neutral,Informative,"The article discusses the welcome message from Ivans Syrskis, son of a Ukrainian military leader, to the Russian people, emphasizing a significant event and conveying a sense of connection amidst the ongoing geopolitical tension."
88,"['https://drive.google.com/file/d/1yXGotFjVgF-qKy-c41MOFnPzdkcGO180/view?usp=drivesdk', 'https://drive.google.com/file/d/182JiwswFZEQqBbd-XvU-zX4PFKIp3WCR/view?usp=drivesdk', 'https://drive.google.com/file/d/1m8s3vYHs1Z1NNm2FqD48CqoIW86ksiY4/view?usp=drivesdk']","Summit for Ukraine in Tirana, Zelensky sends first message from Albania","In a pivotal moment for international relations, the summit held in Tirana marked a significant gathering for Ukraine. President Zelensky has released his first message from Albania, highlighting the importance of solidarity and cooperation among nations.",28-02-2024,Pamfleti,['Pamfleti'],"['Ukraine', 'Zelensky', 'Tirana', 'International Summit', 'Albania']",[],Positive,Encouraging,"The article promotes a pro-Ukraine narrative, emphasizing the importance of international cooperation and support for Ukraine during a critical summit."
155,"['https://drive.google.com/file/d/1Tg45exV_bSHzCTvw5c2bBOtfyIrxo4Oz/view?usp=drivesdk', 'https://drive.google.com/file/d/1MokVfoBHZYasgaJoHPHNt6JO0X5eanyO/view?usp=drivesdk', 'https://drive.google.com/file/d/13FGjUejKZ7qGK9vRkp1ONrW-idprUjpC/view?usp=drivesdk', 'https://drive.google.com/file/d/12vq0KzMS9CB830i7VIDRSdeWHuI7psWB/view?usp=drivesdk', 'https://drive.google.com/file/d/1spKS9KzKmG92HuStp0IVhPuPlQQ0w7oC/view?usp=drivesdk']","It’s ‘time to stop using terms like long COVID,’ health agency says: ‘Unnecessary fear’","They wrongly imply there is something unique and exceptional about longer-term symptoms associated with this virus,” he explained.

“This terminology can cause unnecessary fear, and in some cases, hyper-vigilance to longer symptoms that can impede recovery,” Gerrard warned.

Researchers at Queensland Health surveyed 5,112 symptom sufferers age 18 and older to reach their conclusions. 

No evidence was found that adults who tested positive in 2022 were experiencing this increased level of impairment at a higher rate than those who tested negative, or those who simply had the flu.

The study noted that rates of diagnosed “long COVID” were lower than in other countries, due to tight restrictions imposed by the Australian government during the pandemic.

The finished document is due to be presented next month at 2024’s European Congress of Clinical Microbiology and Infectious Diseases in Barcelona.

“In health systems with highly vaccinated populations, long COVID may have appeared to be a distinct and severe illness because of high volumes of COVID-19 cases during the pandemic,” Gerrard said.",14-03-2024,New York Post,['David Landsel'],"['long COVID', 'health agency', 'unnecessary fear', 'COVID-19', 'impairment', 'recovery']",[],Neutral,Informative,"The article conveys a message questioning the use of the term ""long COVID,"" suggesting that the fear associated with it is exaggerated and may lead to unnecessary anxiety among patients."
99,"['https://drive.google.com/file/d/1g9aZGb864Lr_JgpWoOV92HB_A0_EneQu/view?usp=drivesdk', 'https://drive.google.com/file/d/1vi1Mr6wBZ7-PljA_egrszuxFg0sBp5Hq/view?usp=drivesdk', 'https://drive.google.com/file/d/1ICQoe2v0wOP-1mvdzVVr2BsYgb-oi5nW/view?usp=drivesdk', 'https://drive.google.com/file/d/1ovSJ8_aEoNRHA5zHjmr4LzxCtVUN0vZ1/view?usp=drivesdk', 'https://drive.google.com/file/d/18-c40zvpGy0WYJj3CmOEW8qICQnV8-mM/view?usp=drivesdk', 'https://drive.google.com/file/d/1X-B642GhLtIOIWdktQeojtegBJJ80smz/view?usp=drivesdk', 'https://drive.google.com/file/d/1Y_cVm408TMw3zOhtGeGfwnZQWVzM5hJg/view?usp=drivesdk', 'https://drive.google.com/file/d/13MhwIacXniCYsM7lz-RKQ_09wH7xjb3l/view?usp=drivesdk', 'https://drive.google.com/file/d/1dFmB8PdIlZRz99ccD3ibi1ByN2GPgE0p/view?usp=drivesdk', 'https://drive.google.com/file/d/1F0TwRhLSzoje22y8fG22EWQfkhWbrjlN/view?usp=drivesdk']","CANLI Amerikan silahları olmadan savaş! Arap basını ‘felaket olur’ dedi, İsrail’in saldıracağı yeni ülke","İsrail savaş kabinesi üyesi Benny Gantz, 19 Mayıs'ta ilan ettiği altı şarttan hala beklediğini ve bu şartların yerine gelmemesi halinde saldırılara devam edeceklerini açıkladı. ABD ise tüm dünyadaki derin krizlerin ortasında, eldeki mermilerin adedinin tükendiğine dikkat çekti.",07-06-2024,Milliyet,[],"['İsrail', '#Gazze', '#Savaş']",[],Negative,Urgent,The article portrays a critical view of the ongoing conflict involving Israel and emphasizes the possibility of escalation amidst the lack of adequate military support.
589,"['https://drive.google.com/file/d/1UvvHj_vJbfr6AfRLMq4f0AcCeOYyKY-x/view?usp=drivesdk', 'https://drive.google.com/file/d/1W6kO-mQf0qYLfv-K6Qefes0Deucc-18z/view?usp=drivesdk', 'https://drive.google.com/file/d/1CjLwlbUiZFielv6lCKLU9iBynNn3Sdvr/view?usp=drivesdk', 'https://drive.google.com/file/d/1Q7iRaHHfrdODLkVDR4s-BK7p9Lyj7Ge0/view?usp=drivesdk', 'https://drive.google.com/file/d/1zeMk9FjfSSlFt2RDvh5AQfozVC_-2N5h/view?usp=drivesdk', 'https://drive.google.com/file/d/17qyUqRF45AcXvfW0QX2d_uqionAm3AVp/view?usp=drivesdk']",Mislav Kolakušić: I am by far the most popular Croatian politician in EU history,"Member of the EU Parliament Mislav Kolakušić was a guest in the N1 studio hosted by Igor Bobić in Strasbourg, where he commented on the recent parliamentary elections and the upcoming European ones.",24-04-2024,N1 Hrvatska,['N1 Hrvatska'],"['Mislav Kolakušić', 'N1']","['D za demokraciju / Sever: Journalism is crucial for democratic society', 'Habijan on the messages of Butković and Rimac: Some decisions will be played in a sneaky way']",Positive,Encouraging,"Promoting the view of Mislav Kolakušić as a significant figure in Croatian politics, emphasizing his popularity and engagement in European Parliamentary matters."
529,"['https://drive.google.com/file/d/1XFXgsfRwnJhkga08HM2e0DIBQWss-xTa/view?usp=drivesdk', 'https://drive.google.com/file/d/1G9vibrtN4pMZ3cU2Rl1SJe-BY48de-sp/view?usp=drivesdk', 'https://drive.google.com/file/d/1t0aaNr78gsqWKLvb85bZ2COCTkZIdk28/view?usp=drivesdk', 'https://drive.google.com/file/d/1EX-o8tLqZ7_jq0pgzg0Zh8XLxwATegfo/view?usp=drivesdk', 'https://drive.google.com/file/d/1bZG2EkeXKNhMR2M1YeclDMWG92kn_fAh/view?usp=drivesdk', 'https://drive.google.com/file/d/1-GZwDj2OOHPUfpiafdLa4YJOur_Iq2S9/view?usp=drivesdk', 'https://drive.google.com/file/d/1iyV86Q6G1ngLZsZ4GQEgxV0x3_n6Wykz/view?usp=drivesdk', 'https://drive.google.com/file/d/1Xj88tTtQYOn03N1gmkPpWEccxiqVEK7m/view?usp=drivesdk']",Trump's Old Speech After Obama and Hillary Created ISIS,"The article claims that former American President Donald Trump made a statement about Russia after attacking Moscow, stating that Barack Obama and Hillary Clinton established ISIS.

It also mentions that Trump revealed details about a Moscow attack, stating that a mask under the ""Krokus"" festival organized by U.S. intelligence agencies was directly related to the Islamic state.

An analysis from Raksrinkavanje.ba concluded that even if Trump did say this, it was a metaphor; it was later emphasized in a post on social media.

It was also determined that the claim was inaccurate and that the message directed at Putin after the massacre in Moscow did not reach his voice during the invasion of Moscow (March 22) and publication of the article.

Controversial quotes are noted in this context as bringing some coverage on the transfer of information from Moscow asking if they would justify the actions of Putin after the attack after it leads to future wars. 

There is a focus on how world consequences stem from Putin's decisions, which raises a major concern about global peace and security as costs rise due to war.",25-03-2024,Informer,['Informer/Medij'],"['Trump', 'Obama', 'Hillary Clinton', 'ISIS', 'Moscow', 'Russia', 'analysis']",[],Negative,Fear-mongering,"The narrative presents a critical stance towards Trump, suggesting he misrepresents information about ISIS and his relationship with Russia, possibly undermining national security and global stability."
535,"['https://drive.google.com/file/d/1sUPm-VFiqnyHfURM3qNRCjwcdt9O5pFG/view?usp=drivesdk', 'https://drive.google.com/file/d/1owt5GB1TNeloQNn9wbypNAEvNR97zjYf/view?usp=drivesdk']",Biden did not cancel Easter for transgender people,"U administraciji predsednika Džoa Bajdena došlo je do penzionisanja starih pravila koja su smatrala da praznik Uskrsa ne može biti oprošten za ljudi sa različitim rodnim identitetima. Na snazi su ostala pravila koja regulišu različite gledove na prava i slobode svih, uključujući i prava transrodnih osoba.",30-03-2024,Informer,['Informer.rs'],"['Biden', 'Easter', 'transgender rights', 'administration', 'policy']","['Transgender rights and societal changes', 'Easter celebrations and inclusivity']",Neutral,Informative,"The article discusses the Biden administration's policies regarding Easter and transgender rights, indicating a move towards inclusivity in public celebrations."
547,"['https://drive.google.com/file/d/1iyIEYIbtb0ciqGXBWdgk2dbqDJ-U3Bhe/view?usp=drivesdk', 'https://drive.google.com/file/d/1ZWYn9OxFkCJznoHd8AWSGytpRlDLM7-7/view?usp=drivesdk', 'https://drive.google.com/file/d/1aUZsK0epEOkOpC7Pn_CnaYgX87mijS8K/view?usp=drivesdk', 'https://drive.google.com/file/d/1akf8_j7V00x2KfC7PkGMFwUswe3X4rdD/view?usp=drivesdk']",It is not true that the Ukrainian authorities are dead,"The claims regarding the deaths of Ukrainian officials have been substantiated with a series of unverified reports. However, various sources confirm that key figures are alive and actively participating in the ongoing conflict. The situation remains fluid, with information often changing by the hour as events unfold.",30-01-2024,Informant,['Autor: informers'],"['Ukrainian authorities', 'conflict', 'Russia', 'Ukraine', 'alive']","['Latest updates on the Ukraine conflict', 'Interviews with Ukrainian officials']",Negative,Alarming,"The article challenges false narratives spreading misinformation about Ukrainian leadership, emphasizing the importance of accurate reporting in times of conflict."
549,"['https://drive.google.com/file/d/1ue1cY6j6e1Jmd6SYBTI_LadVKc0uorYy/view?usp=drivesdk', 'https://drive.google.com/file/d/1CodQFWH8Xm9oAe0lBZBm1A4O1-3Um1Pe/view?usp=drivesdk', 'https://drive.google.com/file/d/16e8-68-DAxcucbbR-wr_8ncAcGyf9gLm/view?usp=drivesdk', 'https://drive.google.com/file/d/1Jw3kIwy2rG2t82SFEMbJr14OPrfTqs8-/view?usp=drivesdk']","CORRECTION: The ""palestinian doll"" is a work of activism and is not for sale","On the portal Slobodna Bosna, on 07.01.2024, an article under the title ""MORBID AND TERRIFYING: Israelis put up for sale 'bloody Palestinian doll', appeared in a market in Mexico (VIDEO)'. The site Raskrinkavanje.ba determined that the claims in the text are not accurate. Specifically, the doll is a work of an artist from Mexico, created with the aim of raising awareness about the suffering of children in Palestine, and it is not sold in stores.",07-01-2024,Slobodna Bosna,[],"['Israeli', 'Palestinian', 'activism', 'art', 'Mexico']",[],Negative,Descriptive,"The article seeks to debunk a misleading claim about an art piece, emphasizing its role in activism and raising awareness regarding the plight of Palestinian children."
