Headline,Article_Text,Published_Date,Publishing_Agency_Name,Author_Names,Keywords_Tags,Related_Article_Links,Sentiment,Tone,Narrative,Ad_Name,Product,Company,Ad_Placement
Thousands of illegal Muslims gather in Greek squares to pray (Photos),The New Democracy party stated that it would allow the construction of temples because worshipers gather in illegal places of worship.,09-03-2024,PRONEWS,['Unknown'],"['illegal immigration', 'Greek squares', 'Muslim prayer', 'cultural issue']",['https://www.pronews.gr/koinonia/xiliades-paranomi-mousoulmanoi-katekleisan-tis-ellinikes-plateies-gia-na-proseuxithoun-photo'],Negative,Descriptive,"The article highlights concerns regarding the gathering of illegal immigrants for prayer, linking it to broader issues of immigration and public order.",Calculadora de ayuno,Ayuno,No specification,Sidebar
Thousands of illegal Muslims gather in Greek squares to pray (Photos),The New Democracy party stated that it would allow the construction of temples because worshipers gather in illegal places of worship.,09-03-2024,PRONEWS,['Unknown'],"['illegal immigration', 'Greek squares', 'Muslim prayer', 'cultural issue']",['https://www.pronews.gr/koinonia/xiliades-paranomi-mousoulmanoi-katekleisan-tis-ellinikes-plateies-gia-na-proseuxithoun-photo'],Negative,Descriptive,"The article highlights concerns regarding the gathering of illegal immigrants for prayer, linking it to broader issues of immigration and public order.",Braun,Minipimer 9,Braun,Inline
Thousands of illegal Muslims gather in Greek squares to pray (Photos),The New Democracy party stated that it would allow the construction of temples because worshipers gather in illegal places of worship.,09-03-2024,PRONEWS,['Unknown'],"['illegal immigration', 'Greek squares', 'Muslim prayer', 'cultural issue']",['https://www.pronews.gr/koinonia/xiliades-paranomi-mousoulmanoi-katekleisan-tis-ellinikes-plateies-gia-na-proseuxithoun-photo'],Negative,Descriptive,"The article highlights concerns regarding the gathering of illegal immigrants for prayer, linking it to broader issues of immigration and public order.",Simyo,5G Mobile Tariff,Simyo,Sidebar
Thousands of illegal Muslims gather in Greek squares to pray (Photos),The New Democracy party stated that it would allow the construction of temples because worshipers gather in illegal places of worship.,09-03-2024,PRONEWS,['Unknown'],"['illegal immigration', 'Greek squares', 'Muslim prayer', 'cultural issue']",['https://www.pronews.gr/koinonia/xiliades-paranomi-mousoulmanoi-katekleisan-tis-ellinikes-plateies-gia-na-proseuxithoun-photo'],Negative,Descriptive,"The article highlights concerns regarding the gathering of illegal immigrants for prayer, linking it to broader issues of immigration and public order.",Membrana Media,Unknown,Membrana,Inline
When Ursula's grandmother greeted Hitler as a member of the Nazi party,"The viral image depicts Ursula von der Leyen's grandmother with Adolf Hitler as she greets him, showing a connection to the Nazi party.

The grandfather of the chairman of the European Commission was SS General Karl Albrecht Oberg. In September 1941, Karl Oberg was appointed ""Chief of the SS and Police"" (SSPf).

The photograph is circulating widely on social networks with comments and discussions about its implications regarding current European leadership.",19-03-2024,PRONEWS,['Not specified'],"['Ursula von der Leyen', 'Adolf Hitler', 'Nazi Party', 'EU Leadership']","[""A photo from Ursula von der Leyen's family album"", 'The political implications of historical connections']",Neutral,Descriptive,"The article discusses the historical connection of Ursula von der Leyen's family to Adolf Hitler, raising questions about past associations and their implications for current political leadership.",Del Lapicero al Buril,Art Exhibition,Museo Nacional del Prado,Sidebar
When Ursula's grandmother greeted Hitler as a member of the Nazi party,"The viral image depicts Ursula von der Leyen's grandmother with Adolf Hitler as she greets him, showing a connection to the Nazi party.

The grandfather of the chairman of the European Commission was SS General Karl Albrecht Oberg. In September 1941, Karl Oberg was appointed ""Chief of the SS and Police"" (SSPf).

The photograph is circulating widely on social networks with comments and discussions about its implications regarding current European leadership.",19-03-2024,PRONEWS,['Not specified'],"['Ursula von der Leyen', 'Adolf Hitler', 'Nazi Party', 'EU Leadership']","[""A photo from Ursula von der Leyen's family album"", 'The political implications of historical connections']",Neutral,Descriptive,"The article discusses the historical connection of Ursula von der Leyen's family to Adolf Hitler, raising questions about past associations and their implications for current political leadership.",Vote in the Elections,Political Campaign,Greek Government,Banner
"In Ukraine, Russia is ‘Dumping’ Responsibilities – What Alexey Danilov Said About the Terrorist Blow That Provoked Reactions","In Ukraine, Russia is ‘dumping’ responsibilities – What Alexey Danilov said about the terrorist blow that provoked reactions",23-03-2024,MegaTV,['Alexey Danilov'],"['Ukraine', 'Russia', 'EU Elections', 'terrorism', 'reactions']",['https://megatv.com/2024/03/23/eu-elections-approach-what-you-need-to-know/'],Negative,Concerned,"The article conveys a negative stance towards Russia’s actions in Ukraine, focusing on the perceived irresponsibility and threats posed, while underlining the importance of the upcoming EU elections in this context.",EU Elections Reminder,EU Elections Information,Greek Government,sidebar
"In Ukraine, Russia is ‘Dumping’ Responsibilities – What Alexey Danilov Said About the Terrorist Blow That Provoked Reactions","In Ukraine, Russia is ‘dumping’ responsibilities – What Alexey Danilov said about the terrorist blow that provoked reactions",23-03-2024,MegaTV,['Alexey Danilov'],"['Ukraine', 'Russia', 'EU Elections', 'terrorism', 'reactions']",['https://megatv.com/2024/03/23/eu-elections-approach-what-you-need-to-know/'],Negative,Concerned,"The article conveys a negative stance towards Russia’s actions in Ukraine, focusing on the perceived irresponsibility and threats posed, while underlining the importance of the upcoming EU elections in this context.",Google Ads,Various Google Services,Google,banner
"It’s ‘time to stop using terms like long COVID,’ health agency says: ‘Unnecessary fear’","Follow the science — right out the door.

The term ""long COVID"" should be tossed aside like a stack of expired N95 masks — that’s according to health experts in one country, who found that the moniker can cause “unnecessary fear.”

Government-backed medical researchers in Australia say it’s time to stop using the fear-inducing phrase, which became popular after high volumes of people testing positive for COVID-19 led to a surge in generally non-severe ""virus fatigue symptoms"" that would normally have gone unnoticed, South West News Service reported.

An Australian government agency study found that symptoms of so-called ""long COVID"" were no different from those who struggled to recover from other viral illnesses.

""We believe it is time to stop using terms like ‘long COVID,’"" said Dr. John Gerrard, Queensland’s chief health officer, who oversaw the newly released study.",14-03-2024,New York Post,['David Landsel'],"['long COVID', 'health agency', 'fear', 'Australia', 'COVID-19']","[""5 dead, dozens hospitalized as 'parrot fever' surges across Europe""]",Neutral,Informative,"The article discusses criticisms of the term ""long COVID,"" suggesting it's misleading and can generate unnecessary fear regarding health outcomes from COVID-19.",KAMIQ ESSENCE,Car,Volkswagen,Banner
"It’s ‘time to stop using terms like long COVID,’ health agency says: ‘Unnecessary fear’","Follow the science — right out the door.

The term ""long COVID"" should be tossed aside like a stack of expired N95 masks — that’s according to health experts in one country, who found that the moniker can cause “unnecessary fear.”

Government-backed medical researchers in Australia say it’s time to stop using the fear-inducing phrase, which became popular after high volumes of people testing positive for COVID-19 led to a surge in generally non-severe ""virus fatigue symptoms"" that would normally have gone unnoticed, South West News Service reported.

An Australian government agency study found that symptoms of so-called ""long COVID"" were no different from those who struggled to recover from other viral illnesses.

""We believe it is time to stop using terms like ‘long COVID,’"" said Dr. John Gerrard, Queensland’s chief health officer, who oversaw the newly released study.",14-03-2024,New York Post,['David Landsel'],"['long COVID', 'health agency', 'fear', 'Australia', 'COVID-19']","[""5 dead, dozens hospitalized as 'parrot fever' surges across Europe""]",Neutral,Informative,"The article discusses criticisms of the term ""long COVID,"" suggesting it's misleading and can generate unnecessary fear regarding health outcomes from COVID-19.",SKODA,Skoda Services,Volkswagen Bank GmbH,Bottom
